pid,classified,prob
IFCB1_2008_113_223114_00614,mix,0.8566666666666658
IFCB1_2008_113_223114_00615,mix,0.9800000000000004
IFCB1_2008_113_223114_00616,mix,0.8266666666666664
IFCB1_2008_113_223114_00617,mix,1.0
IFCB1_2008_113_223114_00618,mix,0.4533333333333336
IFCB1_2008_113_223114_00619,mix,0.9633333333333338
IFCB1_2008_113_223114_00620,mix,0.8233333333333341
IFCB1_2008_113_223114_00621,detritus,0.3466666666666665
IFCB1_2008_113_223114_00622,mix,0.8599999999999998
IFCB1_2008_113_223114_00623,mix,0.98
IFCB1_2008_113_223114_00624,mix,0.9966666666666668
IFCB1_2008_113_223114_00627,mix,0.7033333333333336
IFCB1_2008_113_223114_00628,mix,0.9633333333333334
IFCB1_2008_113_223114_00630,dino30,0.20333333333333356
IFCB1_2008_113_223114_00632,detritus,0.4300000000000001
IFCB1_2008_113_223114_00633,Skeletonema,0.22000000000000008
IFCB1_2008_113_223114_00635,mix,0.9666666666666672
IFCB1_2008_113_223114_00636,mix,0.9500000000000002
IFCB1_2008_113_223114_00637,mix,0.4733333333333332
IFCB1_2008_113_223114_00638,mix,0.7633333333333338
IFCB1_2008_113_223114_00639,mix,0.9033333333333332
IFCB1_2008_113_223114_00641,dino30,0.6699999999999998
IFCB1_2008_113_223114_00642,mix,0.5466666666666672
IFCB1_2008_113_223114_00644,dino30,0.5600000000000003
IFCB1_2008_113_223114_00645,mix,0.9733333333333336
IFCB1_2008_113_223114_00646,detritus,0.3433333333333333
IFCB1_2008_113_223114_00647,mix,0.4699999999999995
IFCB1_2008_113_223114_00649,mix,0.9766666666666672
IFCB1_2008_113_223114_00650,dino30,0.6166666666666668
IFCB1_2008_113_223114_00652,mix,0.9966666666666668
IFCB1_2008_113_223114_00653,mix,0.9866666666666666
IFCB1_2008_113_223114_00655,mix,0.9599999999999996
IFCB1_2008_113_223114_00656,dino30,0.3366666666666667
IFCB1_2008_113_223114_00657,mix,0.9833333333333332
IFCB1_2008_113_223114_00658,mix,0.3866666666666669
IFCB1_2008_113_223114_00659,mix,0.5533333333333338
IFCB1_2008_113_223114_00660,mix,0.7566666666666667
IFCB1_2008_113_223114_00661,detritus,0.3866666666666666
IFCB1_2008_113_223114_00662,mix,0.38
IFCB1_2008_113_223114_00663,mix,0.7733333333333337
IFCB1_2008_113_223114_00664,mix,0.5733333333333338
IFCB1_2008_113_223114_00666,mix,0.7866666666666668
IFCB1_2008_113_223114_00667,mix,0.8066666666666669
IFCB1_2008_113_223114_00668,mix,0.9733333333333342
IFCB1_2008_113_223114_00673,mix,0.9633333333333328
IFCB1_2008_113_223114_00674,mix,0.966666666666666
IFCB1_2008_113_223114_00675,mix,0.5333333333333338
IFCB1_2008_113_223114_00676,mix,0.9933333333333332
IFCB1_2008_113_223114_00677,mix,0.98
IFCB1_2008_113_223114_00678,mix,1.0
IFCB1_2008_113_223114_00679,mix,0.976666666666667
IFCB1_2008_113_223114_00680,mix,0.9766666666666672
IFCB1_2008_113_223114_00681,mix,0.9633333333333334
IFCB1_2008_113_223114_00682,mix,0.9833333333333336
IFCB1_2008_113_223114_00684,mix,0.7733333333333337
IFCB1_2008_113_223114_00687,mix,0.8899999999999996
IFCB1_2008_113_223114_00690,mix,0.4733333333333332
IFCB1_2008_113_223114_00692,mix,0.9800000000000004
